GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
query-service,com.query.model.expression,InExpression,40,0,4,0,8,0,6,0,4,0
query-service,com.query.model.expression,Expressions,50,19,0,0,9,3,9,3,9,3
query-service,com.query.model.expression,EqualsExpression,0,24,0,0,0,5,0,3,0,3
query-service,com.query.model.expression,CompoundExpression,1,43,2,8,0,8,2,5,0,2
query-service,com.query.model.expression,LessExpression,43,0,6,0,7,0,6,0,3,0
query-service,com.query.model.expression,Expression.BooleanPredicate,0,24,0,0,0,2,0,1,0,1
query-service,com.query.model.expression,LikeExpression,29,77,9,9,5,17,8,6,0,5
query-service,com.query.model.expression,Expression,11,14,2,0,1,2,3,2,2,2
query-service,com.query.model.expression,BetweenExpression,55,0,12,0,8,0,10,0,4,0
query-service,com.query.model.expression,GreaterExpression,11,32,4,2,0,6,3,3,0,3
query-service,com.query.model,Where,3,18,1,3,1,4,2,3,1,2
query-service,com.query.model,Limit,5,19,0,0,2,6,1,3,1,3
query-service,com.query.model,DataObject,26,61,0,0,12,11,7,5,7,5
query-service,com.query.model,OrderBy,0,60,0,0,0,19,0,8,0,8
query-service,com.query.model,GroupBy,10,44,2,2,2,13,3,6,1,6
query-service,com.query.processor,QueryProcessors,10,111,7,15,4,22,7,12,0,8
query-service,com.query.utils,CommonUtils,59,249,22,32,8,52,23,26,2,20
query-service,com.query.utils,Order,0,24,0,0,0,2,0,1,0,1
query-service,com.query.utils,OrderEntry,45,39,9,5,5,11,9,6,2,6
